date;bugs;new_bugs;reliability_remediation_effort;new_reliability_remediation_effort;reliability_rating;new_reliability_rating;vulnerabilities;new_vulnerabilities;security_remediation_effort;new_security_remediation_effort;security_rating;new_security_rating;code_smells;new_code_smells;sqale_rating;new_maintainability_rating;development_cost;sqale_debt_ratio;new_sqale_debt_ratio;effort_to_reach_maintainability_rating_a;sqale_index;new_technical_debt;normalized_td;duplicated_lines;new_duplicated_lines;duplicated_blocks;new_duplicated_blocks;duplicated_files;duplicated_lines_density;new_duplicated_lines_density;duplications_data;lines;generated_lines;ncloc;new_lines;ncloc_language_distribution;generated_ncloc;classes;files;directories;functions;statements;projects;comment_lines;comment_lines_density;ncloc_data;comment_lines_data;team_size;complexity;file_complexity;complexity_in_classes;class_complexity;complexity_in_functions;function_complexity;function_complexity_distribution;file_complexity_distribution;cognitive_complexity;violations;blocker_violations;critical_violations;major_violations;minor_violations;info_violations;new_violations;new_blocker_violations;new_critical_violations;new_major_violations;new_minor_violations;false_positive_issues;wont_fix_issues;open_issues;reopened_issues;confirmed_issues;new_info_violations;public_documented_api_density;public_undocumented_api;public_api
2020-05-01 00:00:00+00:00;0;;0;;1;;0;;0;;1;;67;;1;;8490;4.9;0;0;416;;1.469964664;0;;0;;0;0;;;648;;283;;c=283;;0;7;;12;191;;157;35.7;;;;39;5.6;;;;;;;44;67;7;1;12;22;25;;;;;;0;0;67;0;0;;;;
2020-05-01 00:00:00+00:00;0;;0;;1;;0;;0;;1;;70;;1;;8670;5;0;0;430;;1.487889273;0;;0;;0;0;;;666;;289;;c=289;;0;7;;14;189;;160;35.6;;;;41;5.9;;;;;;;44;70;7;1;13;24;25;;;;;;0;0;70;0;0;;;;
2020-05-01 00:00:00+00:00;0;;0;;1;;0;;0;;1;;105;;1;;17370;4.9;0;0;849;;1.466321244;0;;0;;0;0;;;1121;;579;;c=579;;0;9;;26;367;;226;28.1;;;;68;7.6;;;;;;;76;105;9;2;17;47;30;;;;;;0;0;105;0;0;;;;
2020-05-01 00:00:00+00:00;0;;0;;1;;0;;0;;1;;107;;2;;17580;5.1;0;13;892;;1.5221843;0;;0;;0;0;;;1132;;586;;c=586;;0;9;;26;374;;230;28.2;;;;70;7.8;;;;;;;80;107;9;2;18;47;31;;;;;;0;0;107;0;0;;;;
2020-05-01 00:00:00+00:00;0;;0;;1;;0;;0;;1;;105;;2;;17520;5.1;0;9;885;;1.515410959;0;;0;;0;0;;;1128;;584;;c=584;;0;9;;26;374;;232;28.4;;;;70;7.8;;;;;;;80;105;9;2;19;44;31;;;;;;0;0;105;0;0;;;;
2020-05-01 00:00:00+00:00;0;;0;;1;;0;;0;;1;;101;;1;;17250;4.9;0;0;844;;1.467826087;0;;0;;0;0;;;1117;;575;;c=575;;0;9;;26;371;;226;28.2;;;;70;7.8;;;;;;;80;101;9;2;19;41;30;;;;;;0;0;101;0;0;;;;
2020-05-01 00:00:00+00:00;0;;0;;1;;0;;0;;1;;101;;1;;17340;4.9;0;0;844;;1.460207612;0;;0;;0;0;;;1123;;578;;c=578;;0;9;;26;373;;225;28;;;;70;7.8;;;;;;;80;101;9;2;19;41;30;;;;;;0;0;101;0;0;;;;
2020-05-01 00:00:00+00:00;0;;0;;1;;0;;0;;1;;101;;1;;17340;4.9;0;0;844;;1.460207612;0;;0;;0;0;;;1128;;578;;c=578;;0;9;;26;373;;226;28.1;;;;70;7.8;;;;;;;84;101;9;2;19;41;30;;;;;;0;0;101;0;0;;;;
2020-05-01 00:00:00+00:00;0;;0;;1;;0;;0;;1;;110;;2;;17730;5.1;0;14;900;;1.52284264;0;;0;;0;0;;;1172;;591;;c=591;;0;9;;28;380;;239;28.8;;;;73;8.1;;;;;;;85;110;9;2;20;41;38;;;;;;0;0;110;0;0;;;;
2020-05-01 00:00:00+00:00;0;;0;;1;;0;;0;;1;;131;;2;;19080;5.4;0;73;1027;;1.614779874;40;;2;;2;2.9;;;1359;;636;;c=636;;0;11;;32;393;;309;32.7;;;;75;6.8;;;;;;;77;131;11;1;24;49;46;;;;;;0;0;131;0;0;;;;
