Project_Name;date;Resource_Handling;Assignment;Exception_Handling;Misused_Functionality;Synchronization;Null_Pointer;Logging;Complexity;Cohesion;Coupling;Encapsulation;Resource_Handling_Eval;Assignment_Eval;Exception_Handling_Eval;Misused_Functionality_Eval;Synchronization_Eval;Null_Pointer_Eval;Logging_Eval;Complexity_Eval;Cohesion_Eval;Coupling_Eval;Encapsulation_Eval;Confidentiality_Eval;Integrity_Eval;Availability_Eval;Security_Index
13 zxing-61016808da4f114eb465374b6f027420d1916838;09/06/2017;0.007352835;0.010031971;6.15755E-05;0.000688196;6.64049E-05;0.000111077;4.22577E-05;32.98966498;119.3262208;10.19815708;2.956071341;0.955619761;1;1;0.96377914;1;0.960329534;1;0.390042369;0.838144089;0.604599989;0.336522176;0.925442879;0.924594337;0.928897971;0.926219098
14 zxing-ba6ce9fb25b37914cbd6429725d80465d662eb5c;16/06/2017;0.007363095;0.010042778;6.15603E-05;0.000688027;6.63886E-05;0.00011105;4.22473E-05;33.09444557;119.9068882;10.19986095;2.960500014;0.955527825;1;1;0.963788059;1;0.960339302;1;0.388652179;0.837349806;0.604533927;0.335926749;0.925351026;0.924503259;0.928809486;0.926128635
15 zxing-33fd85e0c296f1a13c791cd040fae9d9bf77aa28;23/06/2017;0.00736235;0.010049444;6.15642E-05;0.00068807;6.63927E-05;0.000111057;4.22499E-05;33.09586627;119.9143329;10.20033703;2.96064722;0.9555345;1;1;0.963785786;1;0.960336813;1;0.388633608;0.837339623;0.604515469;0.335913518;0.925350295;0.924501504;0.92880805;0.926127328
16 zxing-e9e2bd280bcaeabd59d0f955798384fe6c018a6c;30/06/2017;0.007358161;0.010045489;6.15695E-05;0.00068813;6.76057E-05;0.000111067;4.22536E-05;33.0944742;119.9194441;10.20022889;2.960962513;0.955572036;1;1;0.963782638;1;0.960333365;1;0.388652179;0.837332631;0.604519661;0.335873822;0.925356373;0.92450292;0.928814073;0.926131833
17 zxing-39da9273620561aaa204addba74e326cdcf39446;07/07/2017;0.007358161;0.010045489;6.15695E-05;0.00068813;6.76057E-05;0.000111067;4.22536E-05;33.0944742;119.9194441;10.20022889;2.960962513;0.955572036;1;1;0.963782638;1;0.960333365;1;0.388652179;0.837332631;0.604519661;0.335873822;0.925356373;0.92450292;0.928814073;0.926131833
18 zxing-47459f4bd7ce6b883321a298df26eb5e279f4a32;14/07/2017;0.007360363;0.01004564;6.15778E-05;0.000688223;6.76149E-05;0.000111082;4.22593E-05;33.09083577;119.9834066;10.21056241;2.960783367;0.955552301;1;1;0.96377774;1;0.960328001;1;0.388699934;0.837245138;0.604119013;0.335900286;0.925340569;0.924493525;0.928788225;0.926114819
19 zxing-87f00d41a747382a1dc34a6e67bfb3b21c4c4236;21/07/2017;0.007360363;0.01004564;6.15778E-05;0.000688223;6.76149E-05;0.000111082;4.22593E-05;33.09083577;119.9834066;10.21056241;2.960783367;0.955552301;1;1;0.96377774;1;0.960328001;1;0.388699934;0.837245138;0.604119013;0.335900286;0.925340569;0.924493525;0.928788225;0.926114819
20 zxing-c219e28d5695fddb62abf8ce8184a0e53a314ad2;28/07/2017;0.007361069;0.010049669;6.15434E-05;0.000689044;6.7577E-05;0.000111019;4.22356E-05;33.09528481;118.5506309;10.22381632;2.957100656;0.955545978;1;1;0.96373451;1;0.960350214;1;0.388641567;0.839205001;0.603605137;0.336376628;0.925377466;0.924524322;0.928811899;0.926145272
21 zxing-995da03a399df138b8853052676668f18e783b83;04/08/2017;0.007361069;0.010049669;6.15434E-05;0.000689044;6.7577E-05;0.000111019;4.22356E-05;33.09528481;118.5506309;10.22381632;2.957100656;0.955545978;1;1;0.96373451;1;0.960350214;1;0.388641567;0.839205001;0.603605137;0.336376628;0.925377466;0.924524322;0.928811899;0.926145272
22 zxing-64eb07747e24468d62bd86998dfa064832192d96;11/08/2017;0.007273373;0.009929186;6.08201E-05;0.000680947;6.67829E-05;0.000109715;4.17393E-05;32.96567001;125.5582824;11.07328231;2.943669816;0.956331779;1;1;0.96416068;1;0.960816155;1;0.390360733;0.829619384;0.570669886;0.338162909;0.92466052;0.924120739;0.927240953;0.925248203
23 zxing-f960d43e68201e28f42ed2a78323ce3718f6a8e5;18/08/2017;0.007275087;0.009934667;6.08245E-05;0.000680996;6.67877E-05;0.00010853;4.17423E-05;32.97942105;125.5902755;11.07287251;2.943765966;0.956316429;1;1;0.964158116;1;0.961239293;1;0.390177674;0.829575622;0.570685774;0.338149677;0.92468598;0.924145602;0.92732548;0.925293149
24 zxing-76b4f9628f01fba9b31124938001af0054b5b0b9;25/08/2017;0.007275087;0.009934667;6.08245E-05;0.000680996;6.67877E-05;0.00010853;4.17423E-05;32.97942105;125.5902755;11.07287251;2.943765966;0.956316429;1;1;0.964158116;1;0.961239293;1;0.390177674;0.829575622;0.570685774;0.338149677;0.92468598;0.924145602;0.92732548;0.925293149
25 zxing-cdf4fe51c5dd08f12fa45e55c953931732764ad2;01/09/2017;0.007287013;0.009964483;6.08245E-05;0.000680996;6.67877E-05;0.00010853;4.17423E-05;32.97809483;125.5849897;11.07262445;2.943706335;0.956209562;1;1;0.964158116;1;0.961239293;1;0.390196245;0.829582852;0.570695392;0.338149677;0.924663662;0.924136084;0.927307409;0.925276515
26 zxing-b8c3d08e199cc3bc687ca505007785f1561224a4;08/09/2017;0.007289944;0.009965668;6.20319E-05;0.000679965;6.68036E-05;0.000108556;4.29452E-05;33.02011862;125.7563565;11.08193225;2.943148932;0.956183294;1;1;0.96421235;1;0.961230045;1;0.389637781;0.829348443;0.570334513;0.338229067;0.9246406;0.924120564;0.927262459;0.925248673
27 zxing-46461d37b623e106a61213cb21f29831bdbf644b;15/09/2017;0.007289944;0.009965668;6.20319E-05;0.000679965;6.68036E-05;0.000108556;4.29452E-05;33.02011862;125.7563565;11.08193225;2.943148932;0.956183294;1;1;0.96421235;1;0.961230045;1;0.389637781;0.829348443;0.570334513;0.338229067;0.9246406;0.924120564;0.927262459;0.925248673
47 zxing-649a099c687717e4c4ede82ac8bf1476ed2360cc;02/02/2018;0.007135393;0.009783385;5.9107E-05;0.000641902;5.55605E-05;9.45711E-05;4.37392E-05;32.8266641;128.1490335;11.09557951;2.92480412;0.957568165;1;1;0.966215703;1;1;1;0.392204591;0.826075551;0.569805385;0.340650471;0.928389251;0.927934586;0.936238371;0.930760984
48 zxing-b10dabfe072934863f2a2d9c9c54f0b8030ff7a3;09/02/2018;0.007134819;0.00977787;5.91022E-05;0.00064185;5.55561E-05;9.45635E-05;4.37356E-05;32.82852675;128.1455652;11.09508955;2.924569027;0.957573304;1;1;0.966218419;1;1;1;0.392179388;0.826080296;0.569824382;0.340690166;0.92839254;0.927937133;0.936240209;0.930763542
49 zxing-04595508b63c3bde614b59dac361b50bfadb8757;16/02/2018;0.007116487;0.009771875;5.19969E-05;0.000641689;5.55422E-05;9.33581E-05;4.37247E-05;32.84313357;128.1682159;11.09605367;2.927050688;0.957737569;1;1;0.966226882;1;1;1;0.391985716;0.826049312;0.569787001;0.340359373;0.928408266;0.927932435;0.936257413;0.930772952
50 zxing-76d9dd5cf68498cb718c646c8270b33c8c26223d;23/02/2018;0.007114806;0.009776655;5.19846E-05;0.000641538;5.5529E-05;9.3336E-05;4.37143E-05;32.84387952;128.153129;11.09579468;2.926359044;0.957752637;1;1;0.966234863;1;1;1;0.39197643;0.826069949;0.569797043;0.340451995;0.928417107;0.927940144;0.936262432;0.93078014
51 zxing-05093ed3d203c0bbb437596c4eac4dd6f26d1d00;02/03/2018;0.007109536;0.009778266;5.19116E-05;0.000640637;5.54511E-05;9.3205E-05;4.3653E-05;32.82962244;127.9910205;11.08881965;2.922250511;0.957799857;1;1;0.966282268;1;1;1;0.392164796;0.826291694;0.570067476;0.340994496;0.928473165;0.92799464;0.936305642;0.93083139
52 zxing-65d2b163ebacc8efb9ed5fcd2c7f94b81c2c73fa;09/03/2018;0.007110179;0.009778708;5.19077E-05;0.000639409;5.54469E-05;9.3198E-05;4.60091E-05;32.82587907;127.9785916;11.08764266;2.922308289;0.957794096;1;1;0.966346904;1;1;1;0.392215203;0.826308695;0.57011311;0.340981264;0.928481639;0.928010687;0.936312669;0.930841905
53 zxing-81ae01c1323c9358bfd81a41b7e64df3a2e56d82;16/03/2018;0.007116279;0.009784;5.1892E-05;0.000646291;5.54301E-05;9.31697E-05;5.77888E-05;32.82439278;127.9359759;11.09224627;2.927061085;0.957739432;1;1;0.965984674;1;1;1;0.392235101;0.826366988;0.56993462;0.340359373;0.928395476;0.927893671;0.936266491;0.930758794
54 zxing-8eaa8502ade8dd6242e12dd2b431246a3a160b68;23/03/2018;0.007116279;0.009784;5.1892E-05;0.000646291;5.54301E-05;9.31697E-05;5.77888E-05;32.82439278;127.9359759;11.09224627;2.927061085;0.957739432;1;1;0.965984674;1;1;1;0.392235101;0.826366988;0.56993462;0.340359373;0.928395476;0.927893671;0.936266491;0.930758794
55 zxing-c9a662d78c31d4a0b55acdf81ac5b8ab70a0459e;30/03/2018;0.007116279;0.009784;5.1892E-05;0.000646291;5.54301E-05;9.31697E-05;5.77888E-05;32.82439278;127.9359759;11.09224627;2.927061085;0.957739432;1;1;0.965984674;1;1;1;0.392235101;0.826366988;0.56993462;0.340359373;0.928395476;0.927893671;0.936266491;0.930758794
56 zxing-49d90b6457f73cda4e2031b0e5e7661cab577fa2;06/04/2018;0.007115728;0.00976941;5.18021E-05;0.000645172;5.53341E-05;9.30084E-05;5.76887E-05;32.78574288;129.2291184;11.09284825;2.910747293;0.95774437;1;1;0.966043583;1;1;1;0.392747137;0.824598126;0.569911281;0.342516143;0.928479402;0.927996584;0.936272097;0.930822936
57 zxing-ce98de83bdcc8072ca305b83cded843e51e4c6cd;13/04/2018;0.007115661;0.009769318;5.29789E-05;0.000645166;5.53336E-05;9.41848E-05;5.76882E-05;32.78596152;129.2287019;11.09279086;2.910719878;0.957744971;1;1;0.966043903;1;1;1;0.392744484;0.824598696;0.569913506;0.342516143;0.928479584;0.927996679;0.936272266;0.930823084
58 zxing-72a21d158b66f14cae7fc687d35fcd6c5e95d1a4;20/04/2018;0.007114626;0.00977497;5.29012E-05;0.000644219;5.52524E-05;9.40466E-05;5.76036E-05;32.88743208;129.2754837;11.09412185;2.918186499;0.957754244;1;1;0.966093721;1;1;1;0.391398069;0.824534704;0.569861901;0.341536996;0.928410986;0.927918604;0.936216656;0.930755664
59 zxing-3ae6b336e168e57fca19969dd6adc7210bed8328;27/04/2018;0.00709624;0.009755571;5.27645E-05;0.000642554;5.51096E-05;9.38036E-05;5.74547E-05;32.87750309;128.9907111;11.0793672;2.910607542;0.957918995;1;1;0.966181344;1;1;1;0.391529394;0.824924239;0.570433964;0.342529374;0.928527772;0.928020471;0.936306564;0.930858508
60 zxing-a3018f87681ee5af5e92261dc84d436376c85b00;04/05/2018;0.007101436;0.009706391;5.28031E-05;0.000643025;5.51499E-05;9.38723E-05;5.74968E-05;32.92384261;129.3036509;11.07839741;2.909453171;0.957872437;1;1;0.966156582;1;1;1;0.390915217;0.824496175;0.570471564;0.342688155;0.928501699;0.927992376;0.936270556;0.930828451
61 zxing-561f09b32ea8b5898f02486993b358e22440aee0;11/05/2018;0.007101436;0.009706391;5.28031E-05;0.000643025;5.51499E-05;9.38723E-05;5.74968E-05;32.92384261;129.3036509;11.07839741;2.909453171;0.957872437;1;1;0.966156582;1;1;1;0.390915217;0.824496175;0.570471564;0.342688155;0.928501699;0.927992376;0.936270556;0.930828451
62 zxing-6e04f9b3bd528f9a6de1ee208117290c51dca8e3;18/05/2018;0.007101543;0.009706107;5.27952E-05;0.000642928;5.51417E-05;9.38582E-05;5.74881E-05;32.9299736;129.3162715;11.0788737;2.914403707;0.95787148;1;1;0.966161665;1;1;1;0.390834299;0.824478911;0.570453098;0.342026569;0.928469578;0.927959798;0.936258609;0.930802905
63 zxing-1861cf4f013d7b2ffede653211e3aadacd8234d5;25/05/2018;0.007106348;0.009718303;5.27786E-05;0.000642726;5.51243E-05;9.38287E-05;5.74701E-05;32.92590938;129.2787673;11.07916324;2.913487635;0.957828425;1;1;0.966172301;1;1;1;0.39088736;0.824530213;0.570441872;0.342158886;0.928469284;0.927966332;0.936255402;0.930803916
64 zxing-9a362fc1590455d3deecb79b14be1d7c839fa2d3;01/06/2018;0.007055588;0.009648886;5.24016E-05;0.000638135;5.47306E-05;9.31584E-05;5.70595E-05;32.89569748;131.3024831;11.0507271;2.892946974;0.958283265;1;1;0.966413929;1;1;1;0.391289295;0.821762015;0.57154439;0.344871388;0.928708051;0.92818219;0.936391554;0.931000822
65 zxing-f51520212c586ff98a966dd6bd169e08d122cf64;08/06/2018;0.007055588;0.009648886;5.24016E-05;0.000638135;5.47306E-05;9.31584E-05;5.70595E-05;32.89569748;131.3024831;11.0507271;2.892946974;0.958283265;1;1;0.966413929;1;1;1;0.391289295;0.821762015;0.57154439;0.344871388;0.928708051;0.92818219;0.936391554;0.931000822
66 zxing-c8da0c1a942737ecd187bdbfdc52cc9b83d8383a;15/06/2018;0.007055588;0.009648886;5.24016E-05;0.000638135;5.47306E-05;9.31584E-05;5.70595E-05;32.89569748;131.3024831;11.0507271;2.892946974;0.958283265;1;1;0.966413929;1;1;1;0.391289295;0.821762015;0.57154439;0.344871388;0.928708051;0.92818219;0.936391554;0.931000822
67 zxing-c3d649f6abe39f121ecedc9ea2e269152899fda6;22/06/2018;0.007055588;0.009648886;5.24016E-05;0.000638135;5.47306E-05;9.31584E-05;5.70595E-05;32.89569748;131.3024831;11.0507271;2.892946974;0.958283265;1;1;0.966413929;1;1;1;0.391289295;0.821762015;0.57154439;0.344871388;0.928708051;0.92818219;0.936391554;0.931000822
68 zxing-a3bbebccba25273c5229d0904478a31eb9eecac9;29/06/2018;0.007053865;0.009646957;5.23975E-05;0.000638085;5.47263E-05;9.31511E-05;5.7055E-05;32.89499313;131.2932745;11.05016884;2.892717915;0.958298704;1;1;0.966416589;1;1;1;0.39129858;0.821774611;0.571566035;0.344897851;0.928713939;0.92818639;0.93639654;0.931005847
69 zxing-dbfd5520e9b53de492cc4ff8f8c55a440f0d6b5d;06/07/2018;0.007070583;0.009657778;5.23488E-05;0.000637492;5.46754E-05;9.30646E-05;5.70021E-05;32.93070876;131.3092118;11.04450116;2.890032549;0.958148902;1;1;0.966447765;1;1;1;0.390823687;0.821752811;0.57178578;0.345255107;0.928696635;0.928183745;0.936370894;0.93099065
70 zxing-274159117ac631ef8d48913f22ec48b0bb8d7543;13/07/2018;0.007068971;0.009655577;5.23369E-05;0.000637347;5.4663E-05;9.30434E-05;5.69891E-05;32.93778189;131.3067187;11.06839735;2.895321546;0.958163345;1;1;0.966455413;1;1;1;0.390730831;0.821756221;0.570859284;0.344553827;0.928641135;0.928134537;0.936314631;0.930936998
71 zxing-553b5e97a30584afabb9d6683dc9496b34138e0d;20/07/2018;0.007058397;0.009641134;5.22586E-05;0.000636394;5.45812E-05;9.29042E-05;5.69038E-05;32.90423202;131.2940314;11.05134003;2.891080267;0.958258089;1;1;0.966505588;1;1;1;0.391175214;0.821773576;0.571520626;0.34512279;0.928721819;0.928207942;0.936390797;0.931013742
72 zxing-a203ea5c97700a39a18ba756e8a05709690aa4a3;27/07/2018;0.007058397;0.009641134;5.22586E-05;0.000636394;5.45812E-05;9.29042E-05;5.69038E-05;32.90423202;131.2940314;11.05134003;2.891080267;0.958258089;1;1;0.966505588;1;1;1;0.391175214;0.821773576;0.571520626;0.34512279;0.928721819;0.928207942;0.936390797;0.931013742
73 zxing-a372dfe17508943e1b771187eabc5b7fa58414c9;03/08/2018;0.007050181;0.009638383;5.22752E-05;0.000627302;5.45985E-05;9.29337E-05;5.69219E-05;32.89345271;131.3000236;11.05308836;2.891067796;0.958331714;1;1;0.96698409;1;1;1;0.391318478;0.821765379;0.57145284;0.34512279;0.928795326;0.928325706;0.936433511;0.931091729
74 zxing-fa0e1d755633666174e77dee26b7d29f926500a0;10/08/2018;0.007050082;0.009638249;5.22745E-05;0.000627294;5.45978E-05;9.29324E-05;5.69211E-05;32.89448109;131.2973383;11.05336642;2.891027495;0.958332595;1;1;0.96698455;1;1;1;0.391305213;0.821769052;0.571442059;0.34512279;0.928795045;0.928325323;0.936432791;0.931091268
75 zxing-d258efbed006e5959417bb0fc85b166d0cd82372;17/08/2018;0.007051143;0.009636097;5.22565E-05;0.000627078;5.4579E-05;9.17392E-05;5.69015E-05;32.88423909;130.6896673;10.99384186;2.89209847;0.958323093;1;1;0.966995899;1;1;1;0.391440518;0.822600273;0.573749928;0.344990473;0.928870842;0.928380117;0.936572772;0.931181449
76 zxing-fc057169cd8f87f04ddff6689f61b734f623f791;24/08/2018;0.007051077;0.009636008;5.2256E-05;0.000627072;5.45785E-05;9.17383E-05;5.6901E-05;32.8840265;130.6885089;10.99375831;2.892090182;0.95832368;1;1;0.966996205;1;1;1;0.391443171;0.822601857;0.573753167;0.344990473;0.928871183;0.928380411;0.936573187;0.931181799
77 zxing-0cf3b9be71680f50c90a71ca26ce0d33664b0dd6;31/08/2018;0.007050881;0.009635739;5.22546E-05;0.000628216;5.4577E-05;9.17358E-05;5.68994E-05;32.88444777;130.6848667;10.99353553;2.892121059;0.958325441;1;1;0.966936009;1;1;1;0.391437865;0.822606839;0.573761805;0.344977241;0.928864078;0.928366528;0.936570161;0.931173795
78 zxing-48bb5fd86031d70807f374be4f77e26b989b6b54;07/09/2018;0.007051191;0.009635737;5.22482E-05;0.00062814;5.45704E-05;9.17247E-05;5.68925E-05;32.8904157;130.6825246;10.99339698;2.891771831;0.958322666;1;1;0.966940001;1;1;1;0.391358274;0.822610043;0.573767177;0.345030168;0.928864798;0.92836718;0.936568281;0.931173626
